,notebook_id,total_execution_time,name,tdp_watts,total_co2_emissions
678,6cd9313ed3,3717.261200339451,Intel Xeon Gold 6148,150,0.1409461538462042
679,6cdd60ea00,126.245448566943,AMD EPYC 7763,280,0.008935372304126967
680,6cf821bc98,1272.5427344704408,A100 PCIe 40/80GB,250,0.08041763113667369
681,6cfe0e6127,2515.9867702616893,A100 SXM4 80 GB,400,0.25439421788201527
682,6d0f846348,583.681012877166,AGX Xavier,30,0.004426247680985176
683,6d3a1e06d6,7016.220684048024,AMD RX480,150,0.26603170093682094
684,6d6968d87c,3332.985847121089,GTX 1080 Ti,250,0.21062618895001328
685,6da9003b74,271.7733728966303,GTX 1080,180,0.012365688466796677
686,6de4bfe950,475.977222788889,GTX 750,250,0.0300791161623534
687,6dfe08eda7,1541.1216598742283,GTX TITAN X,250,0.09739032711705194
688,6e0e24295e,966.4209665374534,Quadro K6000,225,0.054965192471817664
689,6e16656a6e,7991.424602359888,Quadro P6000,250,0.5050136380657986
690,6e3197aae9,405.4422652155698,RTX 2080 Ti,250,0.025621698704595037
691,6e7d2da6d3,5363.2517886317655,RTX 2080,215,0.2914778367905014
692,6ea9ab1baa,347.348237939313,RTX 8000,260,0.02282849808234485
693,6ecbdd6ec8,982.9087154071892,T4,70,0.01739202365873277
694,6f1d0705c9,101.2608798195545,Tesla K40c,245,0.006271142543269355
695,6f2268bd1d,203.86121049634943,Tesla K80,300,0.0154594751293065
696,6f2688a5fc,3856.2530371199114,Tesla M40 24GB,250,0.2436937683179944
697,6f3a770e5a,2189.0324188986733,Tesla P100,250,0.13833468758318004
698,6f3e29a352,1428.9244934322828,Tesla P40,250,0.09030008951551233
699,6f4922f455,431.92300511286146,Tesla V100-PCIE-16GB,300,0.03275416122105866
700,6f518c31f6,1937.3458423375037,Tesla V100-SXM2-16GB,250,0.12242949420327282
701,6fd6b030c6,2310.743561350021,Tesla V100-SXM2-32GB,300,0.17523138673570995
702,70162fe655,2383.6951688031745,Titan RTX,280,0.1687126469475136
703,70222949cc,4023.0519957160686,Titan V,250,0.25423453584039046
704,7059b7dea4,291.5308451032167,TITAN X Pascal,250,0.018423129794717163
705,705f217283,240.7089210049799,Titan Xp,250,0.01521146653573137
706,706608cfdb,-26.057988733097226,TPUv2 Chip,221,-0.001455700587253662
707,708f3cf810,462.13392119870076,TPUv3 Chip,283,0.033059263535083726
708,70afbf2259,16288.5585644266,RTX 3080,320,1.3175634038780628
709,70ece1e1e0,231.34922799088085,RTX 3080 TI,350,0.020467980309748765
710,70efba66d3,3469.9750835800523,RTX 3090,350,0.3069964067000685
711,712a3c9878,453.00748383641576,RTX A4000,140,0.01603143151132205
712,71560ce98c,1942.547530033947,RTX A5000,230,0.1129375550100292
713,71a58e8cb7,1157.6211907001561,RTX A6000,300,0.08778627362809518
714,71a5c0514a,591.4018681686426,Intel Xeon E5-2699,145,0.021676521251347888
715,7200798384,5894.147176976002,Intel Xeon E5-2630v4,85,0.12664230114974828
716,721e7285b2,1165.4258512236029,Intel Xeon E5-2650,105,0.030932344467893124
717,7221e5c8ec,461.7782351596041,Intel Xeon Gold 5220,125,0.014590909513723603
